Year,Gas_Volume,Oil_Production
1986,4313969,6813.54
1987,4314833,6387.46
1988,4630330,6122.902
1989,4780638,5739.158
1990,4391324,5581.854
1991,4555659,5618.33
1992,4690065,5457.13
1993,4956445,5264.491
1994,4847702,5102.818
1995,4850318,5075.657
1996,5241414,5071.086
1997,4983772,5155.841
1998,4520276,5076.901
1999,4725672,4831.599
2000,4996179,4851.117
2001,4771340,4838.631
2002,4888818,4759.471
2003,5079351,4675.047
2004,4868797,4532.689
2005,4826775,4319.749
2006,4368466,4345.549
2007,4722358,4355.2
2008,4892277,4318.421
2009,4778907,4708.904
2010,4782412,4875.834
2011,4713777,5076.109
2012,4149519,5950.125
2013,4897372,6939.255
2014,5087314,8206.019
